"Мощность на валу Time";"Мощность на валу ValueY";"Частота Time";"Частота ValueY";"Температура радиатора Time";"Температура радиатора ValueY";"Напряжение Time";"Напряжение ValueY";"Ток Time";"Ток ValueY"
25.05.2020 1:14:55;47,8499984741211;25.05.2020 1:14:55;46,1000022888184;25.05.2020 1:14:55;54;25.05.2020 1:14:55;532;25.05.2020 1:14:55;88,0099945068359
25.05.2020 1:15:55;48,129997253418;25.05.2020 1:15:55;46,1000022888184;25.05.2020 1:15:55;54;25.05.2020 1:15:55;532;25.05.2020 1:15:55;88,0099945068359
25.05.2020 1:16:55;47,9199981689453;25.05.2020 1:16:55;46,1000022888184;25.05.2020 1:16:55;54;25.05.2020 1:16:55;531;25.05.2020 1:16:55;88,0800018310547
25.05.2020 1:17:55;47,9500007629395;25.05.2020 1:17:55;46,1000022888184;25.05.2020 1:17:55;54;25.05.2020 1:17:55;531;25.05.2020 1:17:55;87,7999954223633
25.05.2020 1:18:55;48,0499992370605;25.05.2020 1:18:55;46,1000022888184;25.05.2020 1:18:55;54;25.05.2020 1:18:55;531;25.05.2020 1:18:55;87,9399948120117
25.05.2020 1:19:55;48,2399978637695;25.05.2020 1:19:55;46,1000022888184;25.05.2020 1:19:55;54;25.05.2020 1:19:55;532;25.05.2020 1:19:55;88,1899948120117
25.05.2020 1:20:55;48;25.05.2020 1:20:55;46,1000022888184;25.05.2020 1:20:55;54;25.05.2020 1:20:55;531;25.05.2020 1:20:55;87,9399948120117
25.05.2020 1:21:55;48,2399978637695;25.05.2020 1:21:55;46,1000022888184;25.05.2020 1:21:55;54;25.05.2020 1:21:55;532;25.05.2020 1:21:55;88,2599945068359
25.05.2020 1:22:55;47,9899978637695;25.05.2020 1:22:55;46,1000022888184;25.05.2020 1:22:55;54;25.05.2020 1:22:55;532;25.05.2020 1:22:55;87,4799957275391
25.05.2020 1:23:55;47,8400001525879;25.05.2020 1:23:55;46,1000022888184;25.05.2020 1:23:55;55;25.05.2020 1:23:55;531;25.05.2020 1:23:55;87,8300018310547
25.05.2020 1:24:55;47,75;25.05.2020 1:24:55;46,1000022888184;25.05.2020 1:24:55;55;25.05.2020 1:24:55;532;25.05.2020 1:24:55;87,8699951171875
25.05.2020 1:25:55;47,75;25.05.2020 1:25:55;46,1000022888184;25.05.2020 1:25:55;54;25.05.2020 1:25:55;532;25.05.2020 1:25:55;87,0899963378906
25.05.2020 1:26:55;48,0999984741211;25.05.2020 1:26:55;46,1000022888184;25.05.2020 1:26:55;54;25.05.2020 1:26:55;532;25.05.2020 1:26:55;88,1199951171875
25.05.2020 1:27:55;47,7599983215332;25.05.2020 1:27:55;46,1000022888184;25.05.2020 1:27:55;54;25.05.2020 1:27:55;533;25.05.2020 1:27:55;87,6199951171875
25.05.2020 1:28:55;47,7099990844727;25.05.2020 1:28:55;46,1000022888184;25.05.2020 1:28:55;54;25.05.2020 1:28:55;533;25.05.2020 1:28:55;87,5499954223633
25.05.2020 1:29:55;48;25.05.2020 1:29:55;46,1000022888184;25.05.2020 1:29:55;54;25.05.2020 1:29:55;533;25.05.2020 1:29:55;88,0499954223633
25.05.2020 1:30:55;47,379997253418;25.05.2020 1:30:55;46,1000022888184;25.05.2020 1:30:55;54;25.05.2020 1:30:55;533;25.05.2020 1:30:55;87,7299957275391
25.05.2020 1:31:55;47,7700004577637;25.05.2020 1:31:55;46,1000022888184;25.05.2020 1:31:55;54;25.05.2020 1:31:55;531;25.05.2020 1:31:55;87,8300018310547
25.05.2020 1:32:55;47,9699974060059;25.05.2020 1:32:55;46,1000022888184;25.05.2020 1:32:55;54;25.05.2020 1:32:55;530;25.05.2020 1:32:55;87,8300018310547
25.05.2020 1:33:55;47,9199981689453;25.05.2020 1:33:55;46,1000022888184;25.05.2020 1:33:55;54;25.05.2020 1:33:55;529;25.05.2020 1:33:55;87,8300018310547
25.05.2020 1:34:55;48,0099983215332;25.05.2020 1:34:55;46,1000022888184;25.05.2020 1:34:55;54;25.05.2020 1:34:55;530;25.05.2020 1:34:55;87,3399963378906
25.05.2020 1:35:55;47,7799987792969;25.05.2020 1:35:55;46,1000022888184;25.05.2020 1:35:55;54;25.05.2020 1:35:55;530;25.05.2020 1:35:55;87,3399963378906
25.05.2020 1:36:55;48,0599975585938;25.05.2020 1:36:55;46,1000022888184;25.05.2020 1:36:55;55;25.05.2020 1:36:55;530;25.05.2020 1:36:55;87,4799957275391
25.05.2020 1:37:55;48,0200004577637;25.05.2020 1:37:55;46,1000022888184;25.05.2020 1:37:55;55;25.05.2020 1:37:55;531;25.05.2020 1:37:55;87,4399948120117
25.05.2020 1:38:55;47,939998626709;25.05.2020 1:38:55;46,1000022888184;25.05.2020 1:38:55;55;25.05.2020 1:38:55;531;25.05.2020 1:38:55;87,9700012207031
25.05.2020 1:39:55;48,0099983215332;25.05.2020 1:39:55;46,1000022888184;25.05.2020 1:39:55;54;25.05.2020 1:39:55;531;25.05.2020 1:39:55;88,2200012207031
25.05.2020 1:40:55;47,7000007629395;25.05.2020 1:40:55;46,1000022888184;25.05.2020 1:40:55;54;25.05.2020 1:40:55;531;25.05.2020 1:40:55;87,4799957275391
25.05.2020 1:41:55;47,879997253418;25.05.2020 1:41:55;46,1000022888184;25.05.2020 1:41:55;54;25.05.2020 1:41:55;531;25.05.2020 1:41:55;87,4099960327148
25.05.2020 1:42:55;48,0499992370605;25.05.2020 1:42:55;46,1000022888184;25.05.2020 1:42:55;54;25.05.2020 1:42:55;532;25.05.2020 1:42:55;87,5499954223633
